"Sample_name","SBS9_status"
"PB08410-BLLN-BCELLP1B11","Positive"
"PB08410-BLLN-BCELLP2B10","Positive"
"PB08410-BLLN-BCELLP2D10","Positive"
"PB08410-BLLN-BCELLP2E10","Positive"
"PB08410-BLLN-BCELLP4B11","Positive"
"PB08410-BLLN-BCELLP4D10","Positive"
"PB08410-BLLN-BCELLP4F10","Positive"
"PB08410-BLLN-BCELLP4G10","Positive"
"PB08410-BLBM-BCELLP2D8","Positive"
"PB08410-BLBM-BCELLP2G8","Positive"
"PB08410-BLBM-BCELLP5E8","Positive"
"PB08410-BLBM-BCELLP5F8","Positive"
"PRN4GPDLBC09","Positive"
"PRN4GPDLBC10","Positive"
"PRN4GPDLBC11","Positive"
"PRN4GPDLBC15","Positive"
"PRN4GPDLBC16","Positive"
"PRN4GPDLBC17","Positive"
"PRN4GPDLBC19","Positive"
"PRN4GPDLBC20","Positive"
"PRN4GPDLBC21","Positive"
"PRN4GPDLBC22","Positive"
"PRN4GPDLBC23","Positive"
"PJBUGTDABC1","Positive"
"PJBUGTDABC2","Positive"
"PJBUGTDABC3","Positive"
"PJBUGTDABC6","Positive"
"PJBUGTDABC8","Positive"
"PJBUGTDABC9","Positive"
"PJBUGTDABC11","Positive"
"PJBUGTDABC13","Positive"
"PJBUGTDABC16","Positive"
"PJBUGTDABC17","Positive"
"PJBUGTDABC18","Positive"
"PJBUGTDABC19","Positive"
"PJBUGTDABC21","Positive"
"PJBUGTDABC23","Positive"
"PJBUGTDABC24","Positive"
"PJBUGTDABC25","Positive"
"PJBUGTDABC26","Positive"
"PJBUGTDABC27","Positive"
"PJBUGTDABC29","Positive"
"PJBUGTDABC30","Positive"
"PJBUGTDABC31","Positive"
"PJBUGTDABC32","Positive"
"PJBUGTDABC33","Positive"
"PJBUGTDABC35","Positive"
"PJBUGTDABC37","Positive"
"PJBUGTDABC38","Positive"
"PJBUGTDABC39","Positive"
"PJBUGTDABC40","Positive"
"PJBUGTDABC41","Positive"
"PJBUGTDABC42","Positive"
"PJBUGTDABC43","Positive"
"PJBUGTDABC44","Positive"
"PJBUGTDABC45","Positive"
"PJBUGTDABC49","Positive"
"PJBUGTDABC50","Positive"
"PJBUGTDABC51","Positive"
"PJBUGTDABC52","Positive"
"PJBUGTDABC53","Positive"
"PJBUGTDABC54","Positive"
"PJBUGTDABC55","Positive"
"PJBUGTDABC56","Positive"
"PJBUGTDABC58","Positive"
"PVA9GTDABC1","Positive"
"PVA9GTDABC2","Positive"
"PVA9GTDABC3","Positive"
"PVA9GTDABC4","Positive"
"PVA9GTDABC5","Positive"
"PVA9GTDABC6","Positive"
"PVA9GTDABC10","Positive"
"PVA9GTDABC11","Positive"
"PVA9GTDABC12","Positive"
"PVA9GTDABC13","Positive"
"PVA9GTDABC14","Positive"
"PVA9GTDABC15","Positive"
"PVA9GTDABC16","Positive"
"PVA9GTDABC17","Positive"
"PVA9GTDABC18","Positive"
"PVA9GTDABC19","Positive"
"PVA9GTDABC21","Positive"
"PVA9GTDABC23","Positive"
"PVA9GTDABC24","Positive"
"PVA9GTDABC25","Positive"
"PVA9GTDABC27","Positive"
"PVA9GTDABC28","Positive"
"PVA9GTDABC31","Positive"
"PVA9GTDABC32","Positive"
"PVA9GTDABC33","Positive"
"PVA9GTDABC34","Positive"
"PVA9GTDABC35","Positive"
"PVA9GTDABC36","Positive"
"PVA9GTDABC37","Positive"
"PVA9GTDABC39","Positive"
"PVA9GTDABC40","Positive"
"PVA9GTDABC42","Positive"
"PVA9GTDABC43","Positive"
"PVA9GTDABC44","Positive"
"PVA9GTDABC45","Positive"
"PVA9GTDABC46","Positive"
"PVA9GTDABC47","Positive"
"PVA9GTDABC48","Positive"
"PVA9GTDABC49","Positive"
"PVA9GTDABC50","Positive"
"PVA9GTDABC51","Positive"
"PVA9GTDABC52","Positive"
"PVA9GTDABC53","Positive"
"PVA9GTDABC54","Positive"
"PVA9GTDABC55","Positive"
"PVA9GTDABC56","Positive"
"PVA9GTDABC57","Positive"
"PVA9GTDABC58","Positive"
"PVA9GTDABC59","Positive"
"PVA9GTDABC60","Positive"
"PVA9GTDABC61","Positive"
"PVA9GTDABC62","Positive"
"PB11197-BLASC-BCELLP1B4","Positive"
"PB11197-BLASC-BCELLP1C4","Positive"
"PB11197-BLASC-BCELLP1I4","Positive"
"PB11197-BLASC-BCELLP1J3","Positive"
"PB11197-BLASC-BCELLP1K4","Positive"
"PB11197-BLASC-BCELLP1L3","Positive"
"PB11197-BLASC-BCELLP1O3","Positive"
"PB11197-BLASC-BCELLP1P3","Positive"
"P3G6GPDABC26","Positive"
"P3G6GPDABC28","Positive"
"PB14458-BLPL-BCELLP4B3","Positive"
"PB14458-BLPL-BCELLP4K5","Positive"
"PB14458-BLPL-BCELLP4L3","Positive"
"PB14458-BLPL-BCELLP4L5","Positive"
"PB14458-BLPL-BCELLP4M3","Positive"
"PB14458-BLBM-BCELLP2B3","Positive"
"PB14458-BLBM-BCELLP2B4","Positive"
"PB14458-BLBM-BCELLP2C4","Positive"
"PB14458-BLBM-BCELLP2E4","Positive"
"PB14458-BLBM-BCELLP2F2","Positive"
"PB14458-BLBM-BCELLP2F4","Positive"
"PB14458-BLBM-BCELLP2I2","Positive"
"PB14458-BLBM-BCELLP2L3","Positive"
"PB14458-BLBM-BCELLP2L4","Positive"
"PB14458-BLBM-BCELLP2N2","Positive"
"P856GDDBBC46","Positive"
"P856GDDBBC48","Positive"
"P856GDDBBC54","Positive"
"P856GDDBBC57","Positive"
"P856GDDBBC58","Positive"
"P856GDDBBC59","Positive"
"P856GDDBBC60","Positive"
"P856GDDBBC61","Positive"
"P856GDDBBC62","Positive"
"P856GDDBBC63","Positive"
"P856GDDBBC64","Positive"
"PIA9GTDABC5","Positive"
"PIA9GTDABC6","Positive"
"PIA9GTDABC7","Positive"
"PIA9GTDABC9","Positive"
"PIA9GTDABC15","Positive"
"PIA9GTDABC17","Positive"
"PIA9GTDABC18","Positive"
"PIA9GTDABC19","Positive"
"PIA9GTDABC20","Positive"
"PIA9GTDABC21","Positive"
"PIA9GTDABC22","Positive"
"PIA9GTDABC23","Positive"
"PIA9GTDABC24","Positive"
"PIA9GTDABC25","Positive"
"PIA9GTDABC26","Positive"
"PIA9GTDABC27","Positive"
"PIA9GTDABC33","Positive"
"PIA9GTDABC34","Positive"
"PIA9GTDABC35","Positive"
"PIA9GTDABC36","Positive"
"PIA9GTDABC37","Positive"
"PIA9GTDABC39","Positive"
"PIA9GTDABC40","Positive"
"PIA9GTDABC41","Positive"
"PIA9GTDABC42","Positive"
"PIA9GTDABC43","Positive"
"PIA9GTDABC44","Positive"
"PIA9GTDABC45","Positive"
"PIA9GTDABC46","Positive"
"PIA9GTDABC47","Positive"
"PIA9GTDABC48","Positive"
"PIA9GTDABC49","Positive"
"PIA9GTDABC50","Positive"
"PIA9GTDABC51","Positive"
