gene,gene_effect,z_score,mean,stddev
TMEM164,-0.6758061183927856,-4.846129292423656,-0.010467502202580798,0.13729279101785052
GIPR,-0.6193339709520688,-4.686079171755212,-0.012145005651884698,0.1295729207820354
KLK5,-0.6238280309671017,-4.401301285968673,-0.06425067195967112,0.12713907152672335
TSPAN18,-0.5524548835165506,-4.391505747248309,-0.024995603207312825,0.12010898098897867
CYB561A3,-0.7956089430357708,-4.391233849566284,-0.0802783085108467,0.16289969039011126
KLK12,-0.36505440300379,-4.317650708157985,0.05851096354832558,0.0981008875386353
MYBPC1,-0.4802840347146069,-4.058480575862014,0.010696561133304947,0.1209764557622968
CASS4,-0.5974365096506693,-4.033656819870762,-0.0884935768415734,0.12617407864296257
SLC6A1,-0.4747548377208093,-3.9918001759011883,0.02693741763479086,0.125680703754751
CYP20A1,-0.311152807294921,-3.983058083912658,0.13907557847841576,0.11303585744626303
TBC1D14,-0.4473003756955852,-3.976707122371208,0.015545312709621681,0.11638918184380244
WDR81,-0.5532180892832038,-3.9762732208678497,0.014863250095667812,0.14286778292737234
TMC2,-0.5436920186596454,-3.9731952025825903,-0.04661105990168596,0.12510861747614493
B3GNT8,-0.41428581708402673,-3.950049684495947,0.03255740205002576,0.11312344269691704
ARMC9,-0.4805238520159204,-3.9443647493563327,0.011880872077304495,0.12483752274015193
CD79B,-0.7814119644761037,-3.9426168280356038,-0.10775683075067222,0.17086497702113193
POMT1,-0.5440370308068467,-3.940031413293942,-0.06516125956724236,0.12154110488151032
TGIF2LX,-0.35872272296557983,-3.932034021972829,0.037598101870767085,0.1007928269749558
LCP1,-0.43860281083548125,-3.901713052325936,0.031218772222921288,0.12041418134999109
NPC2,-0.5258833094849727,-3.8786946088175465,0.004585012715248725,0.13676465298255056
BBIP1,-0.39965442790596145,-3.820594418917621,0.05135291324162795,0.11804638014295177
PLOD3,-0.47274239405799956,-3.7866704079823417,0.032463106819664675,0.1334168138353646
GUCY2C,-0.43787253763345046,-3.77414747581414,0.01926125629544448,0.12112239833189994
PRRX2,-0.5748930563200831,-3.751718235394725,-0.07642823284998695,0.13286307558159463
PNP,-0.32918907844103007,-3.7465833579072294,0.1088183042811222,0.11690848457908459
NCOA5,-0.9116735154943068,-3.7420988428413433,-0.18312074994941607,0.19469094648277832
RFX2,-0.6216888153031421,-3.7242485870002677,-0.11458416619805924,0.13616294327805203
IKBIP,-0.4769294646945842,-3.7099937856150884,0.007832025921001413,0.130663693425895
B4GALT1,-0.4916984011726086,-3.6915486555116996,0.04759081797128378,0.14608752842487985
GXYLT2,-0.34797259153036036,-3.684964852848586,0.048513646314204975,0.10759566337195044
ICAM4,-0.5110767292227583,-3.6806560913307487,-0.0020223996120227036,0.1383053230128561
HBD,-0.20414630223107683,-3.67615224463029,0.1118743953967372,0.08596507342410031
ADIPOR2,-0.5274839470006107,-3.6757361809979208,0.023435688227568384,0.14988008064240635
CCDC24,-0.5602211084053114,-3.674308826920253,-0.09357715205062532,0.12700183308919613
SLC2A10,-0.4291578736123943,-3.6435499061843273,0.02114362427244079,0.12358867299183203
PRUNE2,-0.4513688291877471,-3.633375290596917,0.013606766930392826,0.12797345689048004
PPM1M,-0.5311413854870338,-3.620010335658143,-0.11558481996068165,0.11479430360543463
SLC34A1,-0.43364490671871997,-3.6181429589061684,0.007307256703515316,0.12187250985669823
ANTKMT,-0.5391553820518317,-3.5837083854283844,-0.08824234679961693,0.12582302652907237
CD79A,-0.4037090129224109,-3.579869275011211,0.1506336876470207,0.15484998417091517
PCOLCE,-0.5212339349392425,-3.5698906033223365,-0.06455295550223616,0.12792576305055228
THBD,-0.5290248513638918,-3.5601103255595272,-0.0483349194264479,0.1350210774330135
PAX5,-0.8543197131269762,-3.548320993221352,-0.09514559946873045,0.21395305416521168
