gene,gene_effect,z_score,mean,stddev
STK38,-1.0783512574471954,-9.545078028073156,0.041414605414990514,0.11731343207135946
TIMM10B,-1.1376419483726097,-8.208015695695751,0.008028700303301939,0.13957949048229726
SYNJ1,-0.9210219443375023,-7.504140825467229,0.09458915167780034,0.13534009017642173
DIS3L,-1.2909005217421028,-7.180921948897303,-0.216002746780086,0.14968799029031046
CYB561A3,-1.1331177663901078,-6.46311515606891,-0.0802783085108467,0.16289969039011126
SKIC2,-1.4225035420219068,-6.426353212333649,-0.2282324891688342,0.18583962216097802
ALG9,-1.3240304537241254,-6.0200982500127775,-0.1163312082814926,0.20061121850296537
MEF2B,-1.0972871078594097,-5.726659219321722,-0.1879708810773976,0.1587865091943979
CD79A,-0.7115254420304574,-5.567705636481517,0.1506336876470207,0.15484998417091517
SUCLA2,-1.3379005867161107,-5.463852424752842,-0.25236872078879824,0.19867518035617823
GANAB,-1.3768383498278642,-5.463280627673671,-0.2080604048631607,0.2139333533489717
OS9,-1.0197751912416428,-5.375116486290917,-0.2417240679661811,0.14475056033852646
RHOH,-0.9628906649847055,-5.352616502354567,-0.16547213289143883,0.14897733318695439
IRF8,-0.842171731666057,-5.1712764869092664,0.05862478895268441,0.1741922952483872
DENND4A,-1.0059247722271012,-5.103065853978666,-0.1537311718108391,0.1669963948734542
SLC19A1,-0.8332419038463237,-5.0326528245091255,-0.05859592425964714,0.15392398534111756
CHP2,-0.5899852333606729,-4.954154437516566,-0.06987306384307271,0.10498505367110106
GAPVD1,-0.8974504151960673,-4.849775814198399,-0.05314611097610004,0.17409140887464283
SKIC3,-1.044651773928556,-4.798548150326298,-0.18749269849972117,0.1786288370099086
TRPC1,-0.6331463446562007,-4.791254439811413,-0.03957649725086754,0.12388610433068473
SRD5A3,-1.293025822365334,-4.765799279428393,-0.28194622486834825,0.21215320625468181
NCKAP1L,-0.8594503121960991,-4.731031791172672,-0.1376086662865031,0.15257594490411877
SH3GL1,-1.3980516609519993,-4.727882346451788,-0.19454323630844067,0.25455549365495006
DERL1,-1.1245295360592702,-4.726264186381618,-0.15447040814390123,0.20524860432273823
CARM1,-1.647301217282009,-4.625944363341856,-0.34042034587346615,0.28251115205035265
FGF14,-0.6546027131984787,-4.603870937034024,0.01714275974138661,0.14590884108767554
DNAJC3,-0.7889557624981525,-4.586073639476461,-0.011589795618253176,0.1695057750901362
KIRREL2,-0.5376008424415575,-4.579536970238405,0.027483040316843718,0.12339323526172637
STXBP5,-0.4799275630832436,-4.544140327096708,0.05024405518760012,0.11667148901838055
ATF6,-0.731229934531423,-4.535872761374185,-0.09115784175981492,0.14111332624279616
SLC9B1,-1.0841251585979894,-4.502844519523894,-0.29370651761198985,0.17553762683983903
PTX3,-0.49112059424542287,-4.48393042727573,0.1033643084776177,0.13258120578918695
ASTN1,-0.6315067146697473,-4.46313319525991,0.0005464527336938498,0.14161646980975517
SRM,-1.1657995337686924,-4.4319646484625395,-0.13787964497708538,0.23193323284927267
TRPM1,-0.5965885830542451,-4.40513999272223,-0.03779612874462266,0.12685010129821261
RASGRP3,-0.6040943002196537,-4.394476561104943,-0.008533706356092711,0.13552480837759065
UBE2G1,-0.8503736251364219,-4.3453999209079095,-0.05749730303203195,0.18246337196479023
ATP7A,-0.8489385687899963,-4.31739896212462,-0.09360802687830164,0.1749503690851845
CD81,-0.5460835455691442,-4.310300577625412,0.004971899995336101,0.12784617583863775
BCL6,-1.2018575153713158,-4.300349827794655,-0.11277858898610676,0.2532535654067289
KGD4,-1.0165882293295547,-4.2622074557463145,-0.30318162063728155,0.16737960695236861
DENND1A,-0.5762800497937612,-4.234636805665768,-0.001449589991753485,0.13574492599528454
PRKCSH,-0.834180112049733,-4.173765577326687,-0.19016309224259773,0.15430119585672336
TNFRSF25,-0.47943164675782074,-4.1276281375376564,0.06313063367638931,0.13144650204799616
PDE8B,-0.7942119346380844,-4.12167055161786,-0.07456632292249477,0.17460046908239926
DERL2,-1.7032650960164386,-4.119188029681328,-0.360600283513489,0.3259537566210159
MLLT1,-0.7132161541392775,-4.107761351533281,0.006615101286866575,0.17523687328073642
PRKCE,-0.8584724436393244,-4.087402483945315,-0.0776083113208313,0.19104165429893596
TCF3,-1.014680343894702,-4.08362345488145,-0.045289223167135476,0.23738504086824738
ABHD11,-1.462937448551502,-4.073737335275698,-0.420939935797457,0.2557841674599587
FOCAD,-0.6207092788187244,-4.066768614369771,0.021837852215796146,0.1579994319726244
MRPL3,-1.5327166168057373,-4.063067825892283,-0.48009769206084857,0.25906998599358233
CRP,-0.6447772312323207,-4.04925093942604,-0.0724018066613176,0.14135340909549418
SATB1,-0.7430461672783164,-4.046397995285329,-0.04645860314073938,0.17215003688446068
PPCS,-1.2355374101603138,-4.008106057817545,-0.3246359878297015,0.22726480018011486
ALG3,-0.7749864888622157,-3.9937806156975664,-0.04530691939762012,0.1827039689152148
LINGO3,-0.5858824088876325,-3.9720161637762903,-0.028326957492615032,0.14037089186085694
PVR,-0.45716079547918476,-3.9690504062051932,-0.042985625457885805,0.10435119931300937
TSPAN6,-0.3440550502009914,-3.910285197835032,0.09947252202742557,0.11342588834031349
SYK,-0.6323528083504933,-3.8828056315331887,0.01714226227141089,0.16727468028458603
ATP10A,-0.4977849100779159,-3.870940649000267,-0.06017131185423842,0.11305097078579551
CDH24,-0.7575194515268208,-3.847163946102475,-0.2064897641638255,0.14323010276732245
CMIP,-1.7263174454234707,-3.835157783947864,-0.3768027502216626,0.35187983682189844
STRADA,-0.6491314292771484,-3.8254140610807297,-0.12064935126642086,0.13815029420930827
VAV1,-0.54301241048165,-3.8234073627800598,-0.09044811717814939,0.11836674734403244
CD19,-0.7799096835681308,-3.808391153513148,-0.09672979015432571,0.1793880580737061
SDR42E1,-0.6359319011911919,-3.8080754606806697,0.08054858391226416,0.1881476594939612
PAX5,-0.9096863744378874,-3.80710047887505,-0.09514559946873045,0.21395305416521168
JPH4,-0.8137534565482157,-3.793253963890826,-0.17336379568905938,0.16882330235603163
SLC20A1,-1.22860156066753,-3.773334385357413,-0.30641721295968244,0.24439507701369476
GALE,-0.7690779348007135,-3.7666039560913602,-0.15154746612864228,0.16394887168145184
CCNT1,-0.9888484009586901,-3.7664661889763615,-0.2249495923257237,0.20281578814346835
SHB,-0.6035593503408919,-3.7616472799560245,-0.008487419669662776,0.15819450532804494
ZNF43,-0.5367037753384838,-3.729672992555876,-0.04233189042832578,0.1325510000198098
KRT7,-0.6255805649722116,-3.7017978089912216,-0.09455603013521041,0.14345044279490535
CCDC80,-0.42259433894769216,-3.70011485542795,-0.020578120868773114,0.10864965920967944
SULT4A1,-0.3499899564709169,-3.6920406283757665,0.00473021448139067,0.09607699553088586
GAMT,-0.5596725467567465,-3.660862587902989,-0.0588223000406987,0.13681208586497215
KLK14,-0.47235916947939716,-3.6483625112764266,0.07525704060689128,0.15009917693039168
MANF,-1.3126716459374563,-3.625694559856866,-0.36718536240004895,0.2607738373788257
FH,-1.0558985043994311,-3.6168325130222034,-0.2695987345619464,0.21740010548081956
AVPR1A,-0.8282102883898398,-3.613292465519432,-0.18854842220717555,0.17703019400913875
FOXL2NB,-0.526866960959977,-3.604287068831695,-0.028634481666356043,0.13823329545588042
NR2E1,-0.586100289190219,-3.581467658665879,0.026388710765766602,0.17101620294517525
ZNF157,-0.15664708309209474,-3.5721319237014497,0.143347952868161,0.0839820707543747
TBXAS1,-0.47373277226230776,-3.5692648248944123,-0.021481855866818902,0.1267070219170043
SLC25A19,-1.0747494223262504,-3.552769255755512,-0.2456639479336422,0.23336316397398554
ATP6V0A2,-0.7644465125701773,-3.5407965922819895,-0.14335939022901945,0.1754088680764564
TAS1R3,-0.5026702000253257,-3.5296264957442203,0.010043683981395365,0.145260096110712
LRPAP1,-0.4133084400187661,-3.5285557876344464,0.02198862807150982,0.12336408839439103
ZNF429,-0.31487022800639813,-3.514833174570573,0.12306261844298673,0.12459562792845484
FAM20A,-0.5684628611890483,-3.5140895705259916,-0.10141545167255998,0.13290708735309223
MNT,-0.9298649278455207,-3.4872005125197147,-0.05749564607446756,0.2501632121924395
UQCC2,-0.936667486590532,-3.483186133011096,-0.2962895492430138,0.18384832532447334
RNF224,-0.5834284454141792,-3.4692077640852115,-0.1490491489949162,0.12520994012412617
DSE,-0.36109096500245225,-3.4657601847848376,0.07591370063118619,0.12609200935256537
TWIST2,-0.46701395997941075,-3.4637992088347183,0.043446514910847694,0.1473701112894434
LEF1,-0.396912570839337,-3.444146726380208,0.028247730616599555,0.12344430572584209
AQP6,-0.620143229086995,-3.441353268695325,-0.13478553398839893,0.14103687044097143
SIRPB2,-0.4472334829068543,-3.4334865881513497,-0.017283534063554207,0.12522255084001735
PRSS54,-0.294943615435967,-3.4325467786437063,0.024847049282005044,0.09316425538833592
SLC39A4,-0.42781557227814626,-3.4309367110513347,-0.0003570909615981956,0.12458943936204608
KCNJ2,-0.384831739433613,-3.4225598875323406,0.022114354378377707,0.11890108783615708
KLHL3,-0.45901320338183316,-3.415381705456311,-0.1012989214797044,0.10473625285591216
PPCDC,-1.3455819228909176,-3.414831158153377,-0.22976108283150407,0.3267572504705653
EPCAM,-0.6419489758120501,-3.4059112295607377,-0.15336809687918201,0.1434508552931019
NFU1,-0.9393106929315079,-3.4047819607337186,-0.21552705859999996,0.21257855647694254
OR2M4,-0.47271963404058814,-3.403680714876804,-0.056336657935521825,0.1223331478434919
LHX6,-0.40027362909485,-3.4014117792768235,-0.048232436635869465,0.10349855157314362
SPIB,-0.35904668316495303,-3.401230981542427,0.007048811633107336,0.10763617548609987
CCND3,-1.5642548082813859,-3.3968020379325727,-0.34309452763309245,0.3595029286403571
G0S2,-0.4015355887516646,-3.3929939584219606,0.06386094575206633,0.13716397382569498
ELOA,-1.072306004148923,-3.3853013366364424,-0.2072073485664537,0.2555455392464446
KCNS2,-0.3737637798387392,-3.37691670504589,-0.014045474044327759,0.10652270612920643
CD79B,-0.6844926197609403,-3.3753891468287245,-0.10775683075067222,0.17086497702113193
KRT5,-0.4830892254854874,-3.367447570935978,-0.05381365114597504,0.12747802758520624
IGFBP3,-0.5513154075550197,-3.3565425490447627,-0.11808319230453497,0.12907097375356621
MGMT,-0.2349478808717274,-3.351079919483894,0.11608520365289733,0.10475222703094708
DAO,-0.5088326887737791,-3.350190154405941,-0.09450841774983254,0.12367186694733003
MSC,-0.5180659788277993,-3.3284182790281394,-0.027507348312765235,0.14738491060632908
KIF1B,-0.6108745233116257,-3.3268004236103503,-0.09201481692871825,0.15596358071273309
RCVRN,-0.5007500743859744,-3.3133156158603705,-0.11669508766662856,0.11591258764511575
SPI1,-0.8215631222721276,-3.302273951450991,-0.09478932413374133,0.22008283044447238
DOLPP1,-1.133645442539606,-3.299357688679765,-0.2841207475101212,0.2574818419791949
MC3R,-0.31070896962012595,-3.2928123389219777,0.12379444073650071,0.131955108774549
MSX1,-0.3921303995759802,-3.288909008424168,0.049319281963440265,0.13422374422907327
YWHAB,-0.508617003179437,-3.2871899332060224,-0.03926759026948901,0.14278134894754554
DDX39A,-0.965721573408215,-3.277144129454761,-0.24119460325379388,0.22108486582644296
DUOX2,-0.6055635112819014,-3.276260168893158,-0.1671208510712087,0.1338241280022688
GDI2,-0.8396000835591917,-3.27153962293009,-0.12171539189136898,0.2194332865896527
CD74,-0.30476256866355933,-3.2679402938247897,0.07214537229001508,0.11533501443272766
IKZF1,-0.5669333053642115,-3.262414891091599,0.015700087333665316,0.17858960682432656
RHOG,-0.6302237991207081,-3.261211493672254,-0.14009485677471495,0.15029044982117626
RTP2,-0.3233381646409955,-3.2606657990354346,0.07206467901817,0.12126444966427807
GPAT4,-0.450328319634735,-3.2529764057715016,0.10297670690734102,0.17009192736854475
