gene,gene_effect,z_score,mean,stddev
PRKAA1,-0.956177708992567,-6.218186473077329,-0.004677560205705227,0.15301891522657607
LRP8,-1.6885067411950676,-6.064521018331798,-0.18686633764766428,0.2476107179789226
LINS1,-0.7141769572827442,-5.340148837768395,2.448328817929915e-05,0.13374186043649347
SLC7A11,-0.992471913704302,-5.2882769648542025,0.057170845074522636,0.1984848308352101
CD79A,-0.6334651550549453,-5.063602989048545,0.1506336876470207,0.15484998417091517
LDLRAP1,-0.817483887611954,-4.768074098694599,-0.027227807426082096,0.16573905183273638
EBF1,-1.49743799053285,-4.753231796512962,-0.12520657228033297,0.28869440351282794
KCNQ5,-0.7249873196009982,-4.726034443690183,-0.02907597234972433,0.14725058726146148
SYK,-0.7541066430745825,-4.610673319081287,0.01714226227141089,0.16727468028458603
PAX5,-1.0106251769813999,-4.2788806221282,-0.09514559946873045,0.21395305416521168
FAM50B,-0.5138141742315966,-4.181960965887603,0.0967478533430523,0.14599897812414414
FOXO1,-0.863139588908634,-4.161352992384909,-0.1439157230262784,0.17283414004976344
PPCS,-1.2292929264810573,-3.980629371263765,-0.3246359878297015,0.22726480018011486
AAR2,-0.5819988726931539,-3.936548442115165,-0.03212025468598271,0.13968546966786807
BTK,-0.48327053435085576,-3.868248176735301,-0.010855847674344207,0.12212626105991395
AK2,-1.1857883744548658,-3.8647236977733126,-0.2711230753288875,0.2366702953830746
CD79B,-0.7664146382068677,-3.854843859398613,-0.10775683075067222,0.17086497702113193
RNASEH2C,-1.4845914375141454,-3.8387616174091437,-0.32236908952310467,0.302759708422699
RNASEH2B,-0.8502141106597509,-3.7805663465563573,-0.04953541382462328,0.21178802947459183
WDR81,-0.5179880987537018,-3.729681653422505,0.014863250095667812,0.14286778292737234
PCDHAC1,-0.6030506295366265,-3.6687228594231622,-0.08275457389198865,0.14181939480880948
CD19,-0.7489984888991993,-3.6360764799453515,-0.09672979015432571,0.1793880580737061
POU2AF1,-1.120018475718875,-3.620837375036072,-0.0675688965652522,0.29066469165661935
RIMKLB,-0.5844210510883345,-3.5665182551760988,-0.09957666222400406,0.13594333581797158
PPCDC,-1.3819054440035807,-3.525994785158909,-0.22976108283150407,0.3267572504705653
WDR59,-1.1139127325889993,-3.5208146397164355,-0.31090385204304866,0.22807473914918294
HCN2,-0.8123923005306952,-3.4119512930898463,-0.18033124634527792,0.18524914334665835
ACSL4,-1.036625894804744,-3.3850019465558665,-0.1303919553879019,0.2677203599067075
OR10G2,-0.5379253317572075,-3.3654631723100925,-0.06427971952080536,0.14073712531855945
MTCH1,-0.526062080269644,-3.3480388561824315,-0.016108894781433406,0.15231399855068578
BLNK,-0.3541209150095603,-3.311150920931898,0.023421433673678518,0.11402148609311423
FLCN,-0.9524415671639299,-3.2847041346376904,-0.13676657808645015,0.2483252541609658
PTN,-0.3765820080969585,-3.236241373464903,0.009922203369389216,0.11942997040808932
CSTB,-0.4277917576256512,-3.2266662759918705,0.002936453233643082,0.13349016415615814
OXCT2,-0.41558335399760443,-3.2220270856440547,-0.011191024068984784,0.12550866866713045
PGLYRP3,-0.4987817559726602,-3.2144497339440106,-0.10372885108605699,0.12289907685129298
UBE2J2,-1.028702882423716,-3.212778768400208,-0.306812390820483,0.22469349545742173
IRF2BP1,-0.6424406374950019,-3.2014313106125365,-0.14399086755173707,0.1556959127284525
LIPT2,-0.6785442307899507,-3.2011468102796714,-0.03219245726194638,0.2019125681622628
YJEFN3,-0.9675542453704333,-3.1898868900638213,-0.32256905659809815,0.20219688377710182
DNAJC3,-0.5522249874755352,-3.189479482747974,-0.011589795618253176,0.1695057750901362
RBPJ,-0.7521372069406446,-3.168106305015501,-0.08778526748167964,0.2097000149291753
COPS7B,-0.3373055904709811,-3.16734292890473,0.0717903793395251,0.12916061790378092
CD81,-0.3983974527303076,-3.155114731274873,0.004971899995336101,0.12784617583863775
GSS,-0.4915001733481018,-3.1436668276804185,0.03176071547581894,0.16644921917823374
NDRG3,-0.511469962663449,-3.139611464255601,-0.019338192916905663,0.15674925873772963
OXSM,-1.1906951959396597,-3.1273335134554014,-0.21542216052930394,0.31185450199482345
CD300C,-0.48432751880177977,-3.1106733848407075,-0.0013949859167960185,0.15525015748630708
CHST12,-0.3966557577449221,-3.088042570841536,0.04942117152605384,0.144452972728745
C1QTNF6,-0.4125256777934379,-3.067310665913496,-0.053753174826051194,0.11696647064621292
SDHAF2,-1.0636784917138005,-3.05308577142084,-0.4584469456702362,0.19823601148352363
NDRG2,-0.5185538040728453,-3.043250982354944,-0.10436403305988239,0.13610108841317206
METTL23,-0.8150931122726586,-3.0362384914947866,-0.2803622423780605,0.17611622782350733
COX16,-0.7463048634111594,-3.0212648804106967,-0.1734972748435687,0.18959197926721535
GCLC,-0.7321212229055932,-2.991844594249698,-0.08171385640179399,0.21739343271835615
RASAL1,-0.3723813405940401,-2.98082629826145,-0.049101743151636755,0.10845301439770387
FCRL6,-0.49937477944575137,-2.97005876297683,-0.06710222946284236,0.14554343347390572
KLC3,-0.5173580293585783,-2.932967337289606,-0.10808207763890397,0.13954330364206907
RXRB,-0.42948655770945676,-2.914492616415029,-0.009707099221329733,0.14403174539672592
DYNC1LI1,-0.6695780856006475,-2.90360348397136,-0.12886702884223963,0.18622069430046917
BTD,-0.20824260830108754,-2.8763028542090887,0.1252961341834345,0.1159609260187717
HDAC11,-0.3999508920527404,-2.84662627955451,-0.018999534553651064,0.13382556053642114
ADCY9,-0.31335054434601706,-2.8394716109080265,0.06810374009535257,0.1343398831585379
GASK1A,-0.29612893560265563,-2.8386638066074172,-0.007292031821106163,0.10175100803034093
WIPF1,-0.29290565804239654,-2.835542780738171,0.06338632045037845,0.12565212590445285
ADIPOR2,-0.4015047701344753,-2.8352030272514614,0.023435688227568384,0.14988008064240635
ATP7A,-0.5886516613658827,-2.8296232644501655,-0.09360802687830164,0.1749503690851845
DERL1,-0.732917673987629,-2.8182762448126675,-0.15447040814390123,0.20524860432273823
DCUN1D2,-0.26781234105842594,-2.811881283439522,0.03130709244473922,0.10637697802706635
PGM5,-0.7546930594077289,-2.793178274260788,-0.21145364696238236,0.19448791273056654
OR11H4,-0.43960054587954345,-2.7709236993526627,-0.10823579745176402,0.11958638504019152
RNASE8,-0.24652105202343214,-2.7538671150378993,0.07405735004534311,0.11641026552015143
MRPS12,-1.5557953222664938,-2.7493087643737457,-0.6551366008355485,0.3275946059976653
MED13,-0.7768700801853777,-2.733978977399719,-0.054705702514534396,0.26414408583261756
EIF3E,-2.465657279393266,-2.717431368542453,-1.4862631626052982,0.3604117212032055
USP14,-0.746423654670166,-2.7159243048439996,-0.06877426738672913,0.2495096737691887
SNRNP70,-1.9710413390754284,-2.7064737123626466,-1.2537503803597914,0.26502786834366476
