gene,gene_effect,z_score,mean,stddev
H3C10,-1.5298447751026754,-9.269557320680896,-0.1901882469736315,0.14452216883541955
EXOC6,-1.2218648219105768,-7.593836680530649,-0.03860743513029715,0.15581812416560883
LRP10,-0.9691092736576458,-6.927833240121648,0.01779181668441325,0.1424545101095317
SUSD6,-0.7058592052390157,-6.678935798470614,0.12452702363735801,0.12432912277230168
NPRL2,-1.3820207320925688,-6.4103405903710176,0.026542911888522376,0.21973304290522358
ZNF3,-0.8468540074117022,-6.174684402431554,-0.12385309181162682,0.1170911529203601
RING1,-1.1983550511398844,-6.043725467016055,-0.1622992798637329,0.17142667663024727
ALG3,-1.146218616758953,-6.025658358151046,-0.04530691939762012,0.1827039689152148
CYB561A3,-1.046911927076782,-5.93391931102537,-0.0802783085108467,0.16289969039011126
ITSN2,-1.0049808648465965,-5.571915495518096,-0.005219555577031807,0.17942865610107456
COPS7B,-0.621496587859428,-5.367634333519695,0.0717903793395251,0.12916061790378092
BACH2,-0.5381124201867453,-5.048675245359945,0.06523228221616013,0.1195055481054001
PAX5,-1.146408404459565,-4.913520908091658,-0.09514559946873045,0.21395305416521168
NDRG3,-0.7858023313805513,-4.889746494725575,-0.019338192916905663,0.15674925873772963
TMEM161B,-0.8692756614896825,-4.788255850919369,-0.07303754341193744,0.16628980214682207
SYNJ1,-0.5481726264292276,-4.749234149830696,0.09458915167780034,0.13534009017642173
SLC38A1,-0.8721735465433135,-4.745826522056349,-0.10755510845770092,0.16111386173346812
DEPDC5,-0.8907976343021529,-4.564606468723132,0.07714593702143076,0.21205411199321827
AK2,-1.3498649910488552,-4.557994546691699,-0.2711230753288875,0.2366702953830746
SFXN1,-0.6516730300545092,-4.444405775997022,-0.06473979989159351,0.13206112577136317
MSL3,-0.7194863847618207,-4.4158551680121585,-0.02346360703993055,0.15761902309744724
PCGF5,-0.6754240520063612,-4.343055379839189,-0.019086679337896716,0.15112341779366553
GNB1,-1.0445495077640334,-4.227467938456995,-0.1646541805915762,0.2081376701093598
TFEB,-0.47601053534112037,-4.215205626967655,0.003911517148842416,0.11385495630855151
FOXO1,-0.8711863611519192,-4.2079107629791235,-0.1439157230262784,0.17283414004976344
GAPVD1,-0.7845553425571261,-4.201294229904754,-0.05314611097610004,0.17409140887464283
DMXL1,-0.820459508781133,-4.152527942880061,-0.11687878051262975,0.16943431518019408
KCNQ5,-0.6347578798853898,-4.1132732901105715,-0.02907597234972433,0.14725058726146148
SUCLA2,-1.05454187566366,-4.037611308250746,-0.25236872078879824,0.19867518035617823
ELOVL1,-1.0054719712672624,-4.030520636738014,-0.1966973169785058,0.2006625761736119
BTK,-0.5023085081711116,-4.024135810197821,-0.010855847674344207,0.12212626105991395
MEF2B,-0.826443424676627,-4.020949555718019,-0.1879708810773976,0.1587865091943979
NADK2,-0.42723988431501225,-4.012705132726768,0.09556451305675762,0.1302872700782045
PPCS,-1.224152357875716,-3.9580100804573264,-0.3246359878297015,0.22726480018011486
PDXK,-0.7239354687919597,-3.9491001223255826,-0.08816657574059597,0.1609908266081049
GSS,-0.6251062994973794,-3.9463508343035567,0.03176071547581894,0.16644921917823374
RAB42,-0.7328238380864702,-3.9316051647002173,-0.16322982439797296,0.14487569067275058
ARHGAP45,-0.8261412795516391,-3.920415545699861,-0.0514896284767262,0.1975942708227947
CSTB,-0.5179470653811418,-3.902036692422148,0.002936453233643082,0.13349016415615814
MAF1,-0.8377377973955751,-3.8857998883581377,-0.20256438738639806,0.1634601441809079
SETD1B,-1.2071020584645562,-3.870131284248563,-0.24603947686171432,0.2483281602136773
RHOH,-0.7418728459961539,-3.8690497458521373,-0.16547213289143883,0.14897733318695439
ANKH,-0.7208105205824127,-3.8369325019017864,-0.03739692780190092,0.1781145726284671
LAPTM5,-0.39494627142270267,-3.8159665848391846,0.01371969021224096,0.10709369501781577
METTL13,-0.4703526910734128,-3.7968118798448893,-0.047210005941648515,0.11144683974941916
ALG9,-0.8752284392556732,-3.782925185527263,-0.1163312082814926,0.20061121850296537
PRAMEF11,-0.5139407544018438,-3.7818508859546354,-0.0085897385378745,0.13362531498552352
GCLM,-0.6883864760868734,-3.774368708728616,-0.055718338879957224,0.16762223991095676
ZFYVE26,-0.5899665694330087,-3.7490458081502513,-0.07831205757671575,0.13647592962027294
HMGCL,-0.5949928045376406,-3.722162602074139,-0.055884926849282125,0.14483727212452938
PLCL2,-0.493451598260112,-3.720151797068661,-0.029263391640274982,0.12477668437766432
MANF,-1.3215194121683131,-3.65962344750829,-0.36718536240004895,0.2607738373788257
AZIN1,-0.7360775015992046,-3.6569436798626733,-0.10618557765454457,0.17224545387811765
BLNK,-0.39338523810887943,-3.6555099048803656,0.023421433673678518,0.11402148609311423
TRIM28,-1.2919242213376319,-3.6520404273515106,-0.24852136891259904,0.285704080549217
SLC12A9,-0.5139293162726434,-3.6457159738741534,-0.06496416201533058,0.12314869218410777
H3C2,-0.6922880196414233,-3.609758539721443,-0.13247246936527424,0.15508393265532625
ATP6V0A2,-0.7677617770877546,-3.559696802709961,-0.14335939022901945,0.1754088680764564
