gene,gene_effect,z_score,mean,stddev
WAS,-0.8539352971956706,-7.030608711042267,0.015088365826493975,0.1236057500479691
CD81,-0.8451692999299772,-6.649719433128192,0.004971899995336101,0.12784617583863775
ACSL1,-0.8257226703544348,-6.530670987564156,-0.019433985053699913,0.1234618444009945
RCN1,-1.0744964342263135,-5.619415059598326,-0.11327021184176614,0.1710544980554
GABRD,-0.9470545005826245,-5.5224784246195675,-0.06398513510504492,0.15990453879200306
CYTIP,-0.5894819968150782,-5.299555996825085,-0.008572342002836835,0.10961477813617951
TMCC1,-0.653579125429415,-5.160155810398997,-0.0012307908058606406,0.12642027849409318
POU2F2,-0.5583206893692968,-5.09250122922381,0.12390515721880936,0.13396675148021314
SLC39A4,-0.6275274906289054,-5.0338969569066325,-0.0003570909615981956,0.12458943936204608
IMPA2,-0.7822444083277591,-4.9544297383609255,-0.0921230120609589,0.13929381032964516
FAM181B,-0.4947557626953806,-4.943972258634271,0.14571023040291842,0.12954481934638162
DENND4A,-0.9622417408066248,-4.8414851686376545,-0.1537311718108391,0.1669963948734542
CPLANE2,-0.7506639732337642,-4.734587585966717,-0.14210167324207337,0.12853544029800296
IDH3G,-0.5597029708252189,-4.714782296094591,-0.004653312011994285,0.1177254057463036
ARHGAP17,-0.537309533731968,-4.70424409210328,0.04314071410956723,0.12338863300395078
ZNF532,-0.8277595832118128,-4.694165753647941,-0.17222728978225396,0.13964830554185906
SMIM13,-0.545270184138573,-4.671642129088524,0.029884994722442625,0.1231162753841406
BEAN1,-0.6263441895182699,-4.647153354328352,-0.05724330013043452,0.12246225721339185
DBX2,-0.7213582728339945,-4.63190489691158,-0.1228196567101243,0.12922083450438682
GNB4,-0.6908892963915526,-4.6029287749346315,-0.009041087291043703,0.1481335563594925
LRP10,-0.6347782929432265,-4.580901714700965,0.01779181668441325,0.1424545101095317
SOCS7,-0.6677318279657269,-4.563857851379282,-0.03346962619239319,0.13897501246267957
SCD5,-0.5921130912600232,-4.563386700186266,-0.04304356780961378,0.12032062139901442
LAPTM4B,-0.8864478624664707,-4.482408327613129,-0.0753789003636736,0.1809449079206689
CCDC83,-0.5343182480722775,-4.452967693959807,0.0010849015437636763,0.12023513001055107
XIAP,-0.6948038237621768,-4.430533279472464,0.0010791561703869916,0.15706528673573608
SMIM11,-0.8502182917073335,-4.411852236690221,-0.003010805811583787,0.19202988686931324
C3orf62,-0.7155560273811757,-4.406471266617858,-0.05526862736268246,0.14984493488489034
PAX5,-1.032478525688301,-4.38102148098234,-0.09514559946873045,0.21395305416521168
PIM2,-0.9749407067730972,-4.371233560390232,-0.1652081401128923,0.18524120376398232
ACP1,-0.4408436123888726,-4.3629098505694035,0.12753675519019483,0.13027552414471458
TTLL9,-0.4687699332555797,-4.354589979488035,0.09778233059121523,0.1301046175450493
GMEB1,-0.818326500569084,-4.34510249770388,-0.037685871392083466,0.17965988825108758
ARHGDIB,-0.370416288563703,-4.339573087473424,0.13881456230026482,0.11734584038552304
TOMM5,-0.5846676060263281,-4.32835592617229,-0.07116842955283538,0.118636079202386
BACH2,-0.45170717949724487,-4.325652406175158,0.06523228221616013,0.1195055481054001
LRP8,-1.2550403784940771,-4.313924896164386,-0.18686633764766428,0.2476107179789226
GSE1,-0.7578672554646175,-4.299253582681828,-0.02263342381783518,0.17101429760003858
PRAMEF12,-0.7655116121494412,-4.297687991389424,-0.13294119177511843,0.1471885398944039
NDRG3,-0.6903123283893488,-4.280556991947926,-0.019338192916905663,0.15674925873772963
KIF3A,-0.5001166022147748,-4.276674761234082,-0.02706220715833304,0.11061266555606317
NSDHL,-0.48599154119601845,-4.272526693708163,0.02768261442164537,0.12022725484058744
ZNF837,-0.7280975339804487,-4.247156835537916,0.01079163240349157,0.17397265865044462
GAPVD1,-0.7866783362418283,-4.2134889366879635,-0.05314611097610004,0.17409140887464283
MEST,-0.5263157345248496,-4.20197480109273,0.008246118729427869,0.12721681555902328
INAFM1,-0.6468314954853118,-4.193372488900778,-0.10444702157235723,0.1293432613841399
MSC,-0.6449906991585187,-4.189596806793037,-0.027507348312765235,0.14738491060632908
OGFOD3,-0.6085091436378025,-4.1801461346811415,-0.01474502934052197,0.14204386525414436
HOXD4,-0.5652410604346019,-4.163832001087015,-0.07480653844672386,0.11778441634048745
MIEF1,-0.705210328491781,-4.16371023817125,-0.1309382126074896,0.1379231702099708
CD19,-0.8413451280320281,-4.150863473708815,-0.09672979015432571,0.1793880580737061
EEIG1,-0.6031954147090766,-4.133861305720539,-0.05849545707606471,0.13176541672533681
SLC22A2,-0.5146218484249224,-4.125753860184804,-0.011555220502035246,0.1219332623736195
ADGRE3,-0.631634985702261,-4.097317685019653,0.04747214070876076,0.16574431826312347
EXOC6,-0.6696055664626892,-4.049581104324845,-0.03860743513029715,0.15581812416560883
BFSP1,-0.47509856674690665,-4.0475044985728506,0.02303912670535619,0.12307279550347779
BST1,-0.4120610915366751,-4.046173330645872,0.09631250426339695,0.1256430593196863
SPTY2D1,-0.5908934994798338,-4.046049013767045,0.05368040124544906,0.15930946425316705
