Samples,treeposition
P856GDDUBC42,1
P856GDDUBC44,2
PB14458-BLPL-BCELLP4L3,3
PB14458-BLPL-BCELLP4K5,4
PB14458-BLPL-BCELLP4M3,5
PB14458-BLPL-BCELLP4B3,6
PB14458-BLPL-BCELLP4L5,7
P856GDDBBC63,8
PB14458-BLBM-BCELLP2F2,9
PB14458-BLBM-BCELLP2B3,10
P856GDDBBC60,11
P856GDDBBC46,12
PB14458-BLBM-BCELLP2B4,13
PB14458-BLBM-BCELLP2C4,14
PB14458-BLBM-BCELLP2N2,15
P856GDDBBC59,16
P856GDDBBC64,17
PB14458-BLBM-BCELLP2F4,18
P856GDDBBC58,19
P856GDDBBC54,20
P856GDDBBC48,21
PB14458-BLBM-BCELLP2I2,22
PB14458-BLBM-BCELLP2L4,23
PB14458-BLBM-BCELLP2E4,24
P856GDDBBC57,25
P856GDDBBC62,26
PB14458-BLBM-BCELLP2L3,27
P856GDDBBC61,28
