Samples,treeposition
PIA9GTDBBC75,1
PIA9GTDBBC64,2
PIA9GTDBBC52,3
PIA9GTDBBC54,4
PIA9GTDBBC57,5
PIA9GTDBBC73,6
PIA9GTDBBC58,7
PIA9GTDBBC60,8
PIA9GTDBBC67,9
PIA9GTDBBC59,10
PIA9GTDBBC63,11
PIA9GTDBBC72,12
PIA9GTDBBC61,13
PIA9GTDBBC77,14
PIA9GTDBBC68,15
PIA9GTDBBC55,16
PIA9GTDBBC65,17
PIA9GTDBBC53,18
PIA9GTDBBC66,19
PIA9GTDBBC56,20
PIA9GTDBBC74,21
PIA9GTDBBC71,22
PIA9GTDBBC76,23
PIA9GTDABC37,24
PIA9GTDABC7,25
PIA9GTDABC49,26
PIA9GTDABC21,27
PIA9GTDABC33,28
PIA9GTDABC19,29
PIA9GTDABC9,30
PIA9GTDABC26,31
PIA9GTDABC44,32
PIA9GTDABC5,33
PIA9GTDABC6,34
PIA9GTDABC25,35
PIA9GTDABC48,36
PIA9GTDABC18,37
PIA9GTDABC40,38
PIA9GTDABC34,39
PIA9GTDABC50,40
PIA9GTDABC42,41
PIA9GTDABC46,42
PIA9GTDABC47,43
PIA9GTDABC43,44
PIA9GTDABC20,45
PIA9GTDABC36,46
PIA9GTDABC24,47
PIA9GTDABC39,48
PIA9GTDABC15,49
PIA9GTDABC51,50
PIA9GTDABC23,51
PIA9GTDABC17,52
PIA9GTDABC45,53
PIA9GTDABC41,54
PIA9GTDABC27,55
PIA9GTDABC35,56
PIA9GTDABC22,57
