Samples,treeposition
PJBUGTDBBC69,1
PJBUGTDBBC74,2
PJBUGTDBBC67,3
PJBUGTDBBC64,4
PJBUGTDBBC72,5
PJBUGTDBBC68,6
PJBUGTDBBC73,7
PJBUGTDBBC59,8
PJBUGTDBBC65,9
PJBUGTDBBC76,10
PJBUGTDBBC71,11
PJBUGTDBBC81,12
PJBUGTDBBC70,13
PJBUGTDBBC63,14
PJBUGTDBBC80,15
PJBUGTDBBC79,16
PJBUGTDABC9,17
PJBUGTDABC43,18
PJBUGTDABC54,19
PJBUGTDABC26,20
PJBUGTDABC37,21
PJBUGTDABC24,22
PJBUGTDABC11,23
PJBUGTDABC8,24
PJBUGTDABC6,25
PJBUGTDABC19,26
PJBUGTDABC42,27
PJBUGTDABC50,28
PJBUGTDABC13,29
PJBUGTDABC29,30
PJBUGTDABC30,31
PJBUGTDABC33,32
PJBUGTDABC32,33
PJBUGTDABC51,34
PJBUGTDABC56,35
PJBUGTDABC3,36
PJBUGTDABC40,37
PJBUGTDABC27,38
PJBUGTDABC55,39
PJBUGTDABC16,40
PJBUGTDABC2,41
PJBUGTDABC31,42
PJBUGTDABC44,43
PJBUGTDABC38,44
PJBUGTDABC39,45
PJBUGTDABC21,46
PJBUGTDABC58,47
PJBUGTDABC53,48
PJBUGTDABC49,49
PJBUGTDABC52,50
PJBUGTDABC1,51
PJBUGTDABC18,52
PJBUGTDABC45,53
PJBUGTDABC17,54
PJBUGTDABC41,55
PJBUGTDABC23,56
PJBUGTDABC35,57
PJBUGTDABC25,58
