Samples,treeposition
PB08410-BLBM-BCELLP5G10,1
PRN4GPDBBC07,2
PB08410-BLBM-BCELLP2C8,3
PB08410-BLBM-BCELLP2G8,4
PB08410-BLBM-BCELLP2D8,5
PB08410-BLBM-BCELLP5E8,6
PB08410-BLBM-BCELLP5F8,7
PRN4GPDLBC15,8
PRN4GPDLBC17,9
PRN4GPDLBC09,10
PRN4GPDLBC11,11
PB08410-BLLN-BCELLP4F10,12
PRN4GPDLBC21,13
PRN4GPDLBC23,14
PB08410-BLLN-BCELLP4D10,15
PB08410-BLLN-BCELLP2D10,16
PRN4GPDLBC22,17
PB08410-BLLN-BCELLP4B11,18
PB08410-BLLN-BCELLP1B11,19
PRN4GPDLBC20,20
PB08410-BLLN-BCELLP2B10,21
PB08410-BLLN-BCELLP2E10,22
PRN4GPDLBC10,23
PB08410-BLLN-BCELLP4G10,24
PRN4GPDLBC16,25
PRN4GPDLBC19,26
