Samples,treeposition
PVA9GTDBBC77,1
PVA9GTDBBC65,2
PVA9GTDBBC76,3
PVA9GTDBBC74,4
PVA9GTDBBC68,5
PVA9GTDBBC63,6
PVA9GTDBBC67,7
PVA9GTDBBC70,8
PVA9GTDBBC69,9
PVA9GTDBBC73,10
PVA9GTDBBC66,11
PVA9GTDABC55,12
PVA9GTDABC57,13
PVA9GTDABC54,14
PVA9GTDABC48,15
PVA9GTDABC21,16
PVA9GTDABC15,17
PVA9GTDABC1,18
PVA9GTDABC52,19
PVA9GTDABC43,20
PVA9GTDABC2,21
PVA9GTDABC24,22
PVA9GTDABC34,23
PVA9GTDABC61,24
PVA9GTDABC60,25
PVA9GTDABC59,26
PVA9GTDABC37,27
PVA9GTDABC56,28
PVA9GTDABC33,29
PVA9GTDABC53,30
PVA9GTDABC49,31
PVA9GTDABC32,32
PVA9GTDABC40,33
PVA9GTDABC42,34
PVA9GTDABC44,35
PVA9GTDABC35,36
PVA9GTDABC51,37
PVA9GTDABC45,38
PVA9GTDABC39,39
PVA9GTDABC50,40
PVA9GTDABC36,41
PVA9GTDABC62,42
PVA9GTDABC58,43
PVA9GTDABC46,44
PVA9GTDABC31,45
PVA9GTDABC47,46
PVA9GTDABC18,47
PVA9GTDABC25,48
PVA9GTDABC4,49
PVA9GTDABC16,50
PVA9GTDABC28,51
PVA9GTDABC27,52
PVA9GTDABC11,53
PVA9GTDABC19,54
PVA9GTDABC12,55
PVA9GTDABC13,56
PVA9GTDABC23,57
PVA9GTDABC17,58
PVA9GTDABC14,59
PVA9GTDABC10,60
PVA9GTDABC6,61
PVA9GTDABC5,62
PVA9GTDABC3,63
